county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero
18157,180952,8.205405,76.98379,4.9135137,0.105405405,7.8054056,35017.0,10.0,1832.0,8.0,34581.0,69598.0,0.6264547831834247,Swing (Campo de Batalla),0.6264547831834247
19049,74892,7.06,87.293335,1.1666666,0.07333333,2.5933332,26879.0,57.0,744.0,180.0,28162.0,55041.0,-2.330989625915227,Swing (Campo de Batalla),2.330989625915227
19061,95906,2.3038461,91.488464,2.2192307,0.08461539,1.2961539,25657.0,125.0,556.0,230.0,27358.0,53015.0,-3.208525888899368,Swing (Campo de Batalla),3.208525888899368
19101,17318,3.025,83.775,1.225,0.125,7.25,4319.0,32.0,95.0,37.0,4476.0,8795.0,-1.7851051733939738,Swing (Campo de Batalla),1.7851051733939738
19163,169994,6.9382977,80.38085,8.1957445,0.24468085,1.9638298,46926.0,209.0,1124.0,382.0,43958.0,90884.0,3.2657013335680647,Swing (Campo de Batalla),3.2657013335680647
20161,75022,8.253846,78.207695,5.6538463,0.3846154,4.4923077,12765.0,0.0,796.0,0.0,11610.0,24375.0,4.7384615384615385,Swing (Campo de Batalla),4.7384615384615385
20177,178792,12.667442,72.1093,8.472093,0.7651163,1.0372093,43015.0,0.0,2199.0,0.0,40443.0,83458.0,3.081789642694529,Swing (Campo de Batalla),3.081789642694529
21073,49778,2.7181818,81.91818,10.981818,0.2090909,1.4454546,12650.0,0.0,365.0,144.0,12900.0,25550.0,-0.9784735812133072,Swing (Campo de Batalla),0.9784735812133072
22047,33229,2.0714285,47.24286,49.285713,0.25714287,0.114285715,8514.0,0.0,141.0,171.0,7893.0,16407.0,3.784969829950631,Swing (Campo de Batalla),3.784969829950631
22093,21650,1.5285715,44.842857,53.057144,0.028571429,0.057142857,6510.0,0.0,47.0,79.0,5954.0,12464.0,4.460847240051348,Swing (Campo de Batalla),4.460847240051348
23001,107393,1.7571429,90.685715,1.7392857,0.09642857,0.7,27617.0,603.0,1105.0,768.0,29268.0,56885.0,-2.9023468401160235,Swing (Campo de Batalla),2.9023468401160235
23007,30402,1.3111111,96.31111,0.26666668,0.4,0.44444445,8069.0,183.0,353.0,240.0,8754.0,16823.0,-4.0718064554478985,Swing (Campo de Batalla),4.0718064554478985
23011,121112,1.2806451,95.47419,0.65806454,0.58064514,0.7483871,34902.0,730.0,1406.0,856.0,34721.0,69623.0,0.259971561122043,Swing (Campo de Batalla),0.259971561122043
