county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN
72097,83418,99.12308,0.63076925,0.07692308,0.0,0.046153847,0.0,0.0,0.0,0.0,0.0
72099,38815,99.25714,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72101,32294,99.86667,0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72103,26804,99.7,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72105,29751,99.6,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72107,22595,99.92857,0.071428575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72109,18441,99.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72111,22770,99.333336,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72113,156054,99.36222,0.46,0.086666666,0.0,0.09111111,0.0,0.0,0.0,0.0,0.0
72115,25205,99.175,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72117,14841,90.666664,5.233333,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
72119,53029,99.22727,0.6727273,0.045454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72121,24307,99.11667,0.8833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72123,30114,99.11429,0.34285715,0.042857144,0.0,0.5,0.0,0.0,0.0,0.0,0.0
72125,34125,99.58572,0.2857143,0.071428575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72127,371400,98.05285,1.2983739,0.29674795,0.008943089,0.1406504,0.0,0.0,0.0,0.0,0.0
72129,39778,99.67778,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72131,40471,99.31111,0.5777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72133,22913,99.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72135,74603,99.37692,0.2846154,0.046153847,0.0,0.3,0.0,0.0,0.0,0.0,0.0
72137,85242,99.344,0.288,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72139,71886,99.55334,0.40666667,0.033333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72141,31474,99.65,0.2375,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72143,39319,98.557144,1.1714286,0.028571429,0.0,0.028571429,0.0,0.0,0.0,0.0,0.0
72145,56858,96.43846,3.3,0.14615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72147,9130,96.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72149,24685,99.666664,0.016666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72151,36279,99.725,0.2125,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0
