county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero,state_code,state_name,perc_white,perc_hispanic,perc_black,perc_native,perc_asian,Professional,Nodo_Estrategico
12111,288006,14.827907,61.516277,20.427906,0.16976744,1.3186047,84137.0,209.0,768.0,224.0,86831.0,170968.0,-1.5757334705909878,Swing (Campo de Batalla),1.5757334705909878,12,Florida,0.0213593734158316,0.0051484715596202,0.0070928751484344,5.894579974028319e-05,0.0004578393158475,27.75581395348837,Nodo B (Industrial)
12117,437346,17.923256,63.12093,13.136046,0.14534883,3.5465117,132528.0,406.0,2215.0,425.0,125241.0,257769.0,2.8269497107875656,Swing (Campo de Batalla),2.8269497107875656,12,Florida,0.0144327214608113,0.0040981867903216,0.0030035820608854,3.323428818372639e-05,0.0008109166883885,41.69767441860465,Nodo A (Conocimiento)
13009,45795,1.8555555,50.444443,44.933334,0.21111111,1.3777778,9140.0,0.0,208.0,0.0,8903.0,18043.0,1.3135287923294352,Swing (Campo de Batalla),1.3135287923294352,13,Georgia,0.1101527306474505,0.0040518735669832,0.098118427775958,0.0004609916148051,0.0030085769188776,28.744444444444444,Nodo B (Industrial)
13033,23007,3.5666666,48.533333,47.25,0.06666667,0.18333334,5209.0,0.0,75.0,0.0,5400.0,10609.0,-1.8003581864454707,Swing (Campo de Batalla),1.8003581864454707,13,Georgia,0.2109502890424653,0.0155025279262833,0.2053722780023471,0.0002897668970313,0.0007968589559699,26.25,Nodo B (Industrial)
13225,27086,8.883333,43.266666,46.05,0.083333336,0.8666667,5920.0,0.0,123.0,0.0,6502.0,12422.0,-4.685235871840283,Swing (Campo de Batalla),4.685235871840283,13,Georgia,0.1597381156316916,0.0327967695488444,0.1700140293878756,0.0003076620246621,0.0031996850771616,28.05,Nodo B (Industrial)
13261,31429,4.9625,46.65,45.7375,0.35,0.9375,6318.0,0.0,100.0,0.0,5732.0,12050.0,4.863070539419087,Swing (Campo de Batalla),4.863070539419087,13,Georgia,0.1484297941391708,0.0157895574151261,0.145526424639664,0.001113621177893,0.0029829138693563,33.15,Nodo A (Conocimiento)
13303,20785,1.96,45.76,50.48,0.0,0.66,4730.0,0.0,66.0,0.0,4663.0,9393.0,0.7132971361652294,Swing (Campo de Batalla),0.7132971361652294,13,Georgia,0.2201587683425547,0.0094298773153716,0.2428674524897763,0.0,0.0031753668510945,31.64,Nodo A (Conocimiento)
16001,417501,7.8440676,84.9339,1.1559322,0.5271186,2.6881356,120539.0,0.0,5310.0,2841.0,130699.0,251238.0,-4.043974239565671,Swing (Campo de Batalla),4.043974239565671,16,,0.0203434003750889,0.0018788140866728,0.0002768693248638,0.000126255649687,0.0006438632721837,42.80169491525424,Nodo A (Conocimiento)
16057,38339,3.5428572,90.74286,0.6,0.71428573,1.7428571,10236.0,0.0,608.0,254.0,9472.0,19708.0,3.8765983357012384,Swing (Campo de Batalla),3.8765983357012384,16,,0.2366855160541484,0.0092408701322413,0.001564986045541,0.0018630786666318,0.004545911734787,39.07142857142857,Nodo A (Conocimiento)
17077,59534,4.1571426,74.83572,14.614285,0.31428573,3.1214285,11181.0,194.0,311.0,67.0,10890.0,22071.0,1.318472203343754,Swing (Campo de Batalla),1.318472203343754,17,Illinois,0.125702489333826,0.006982804111936,0.0245477962172876,0.0005279096482682,0.0052431022608929,36.85714285714285,Nodo A (Conocimiento)
17111,307357,12.653846,82.198074,1.2942308,0.021153847,2.3423078,78154.0,781.0,2176.0,508.0,82260.0,160414.0,-2.5596269652274737,Swing (Campo de Batalla),2.5596269652274737,17,Illinois,0.0267435177985209,0.0041169864359685,0.0004210838861649,6.88250047989797e-06,0.0007620805122382,36.20769230769231,Nodo A (Conocimiento)
